x-axis,1,2
second,Volt,Volt
-22.12500E+00,+13.29605E+00,+260E-06
-22.10000E+00,+13.29638E+00,+240E-06
-22.07500E+00,+13.29631E+00,+250E-06
-22.05000E+00,+13.29647E+00,+240E-06
-22.02500E+00,+13.29632E+00,+260E-06
-22.00000E+00,+13.29598E+00,+250E-06
-21.97500E+00,+13.29615E+00,+250E-06
-21.95000E+00,+13.29607E+00,+240E-06
-21.92500E+00,+13.29631E+00,+250E-06
-21.90000E+00,+13.29628E+00,+260E-06
-21.87500E+00,+13.29615E+00,+260E-06
-21.85000E+00,+13.29615E+00,+250E-06
-21.82500E+00,+13.29631E+00,+240E-06
-21.80000E+00,+13.29631E+00,+240E-06
-21.77500E+00,+13.29664E+00,+250E-06
-21.75000E+00,+13.29631E+00,+250E-06
-21.72500E+00,+13.29631E+00,+240E-06
-21.70000E+00,+13.29633E+00,+240E-06
-21.67500E+00,+13.29631E+00,+240E-06
-21.65000E+00,+13.29631E+00,+230E-06
-21.62500E+00,+13.29664E+00,+260E-06
-21.60000E+00,+13.29664E+00,+270E-06
-21.57500E+00,+13.29631E+00,+250E-06
-21.55000E+00,+13.29647E+00,+240E-06
-21.52500E+00,+13.29660E+00,+250E-06
-21.50000E+00,+13.29657E+00,+260E-06
-21.47500E+00,+13.29687E+00,+240E-06
-21.45000E+00,+13.29708E+00,+260E-06
-21.42500E+00,+13.29664E+00,+260E-06
-21.40000E+00,+13.29647E+00,+250E-06
-21.37500E+00,+13.29647E+00,+240E-06
-21.35000E+00,+13.29615E+00,+250E-06
-21.32500E+00,+13.29631E+00,+240E-06
-21.30000E+00,+13.29642E+00,+250E-06
-21.27500E+00,+13.29631E+00,+240E-06
-21.25000E+00,+13.29647E+00,+240E-06
-21.22500E+00,+13.29647E+00,+250E-06
-21.20000E+00,+13.29631E+00,+240E-06
-21.17500E+00,+13.29647E+00,+260E-06
-21.15000E+00,+13.29647E+00,+270E-06
-21.12500E+00,+13.29647E+00,+250E-06
-21.10000E+00,+13.29696E+00,+260E-06
